content,score,label,dominant_topic,topic_probability,topic_keywords,lda_tokens
"Stockbit masih perlu pengembangan UX, saldo kurang berapa langsung tampilkan saja gak usah spam sebut saldo deposit kurang suruh topup entah kurang berapa. Saya jadinya terpaksa hitung manual pake kalkulator dan itu menyita waktu dan momen saya untuk beli saham",3,neutral,1,0.2331,"masuk, deposit, withdraw, withdrawal, uang, verifikasi, membantu_pemula, kerja, proses, penarikan",stockbit pengembangan user experience saldo langsung tampilkan spam saldo deposit suruh topup terpaksa hitung manual pakai kalkulator menyita momen beli_saham
"Sekuritas paling murah biayanya, tapi paling jelek juga kyknya, aplikasi sering lag eror pas jam jam trading jadinya sering ketinggalan, bahkan sampai mt di jam 9-10🤯, mohon secepatnya diperbaiki -2022 Edited Sekarang 2025, udah banyak pembaharuan gapernah eror lagi pas jam trading, fitur IPO sangat memudahkan, aplikasi para ritell nih bous",5,positive,0,0.3971,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",sekuritas murah biayanya jelek aplikasi lag eror pas_jam jam trading ketinggalan maintenance_jam mohon secepatnya diperbaiki edited pembaharuan tidak pernah eror pas_jam trading fitur ipo memudahkan aplikasi ritel nih bous
Riview ulang..mohon maaf min kalo riview sy kurang bagus minggu lalu..sekarang sy sudah memakai aplikasi stockbit dan ternyata...awesome banget untuk pemula seperti saya...lancar dan midah dipahami...mantap...,5,positive,4,0.377,"user_friendly, easy, easy_use, mantul, bursa, the, maintenance, handphone, memakai, screning",riview ulangmohon maaf_min riview bagus minggu lalusekarang memakai aplikasi stockbit ternyatawesome banget pemula sayalancar midah dipahamimantap
"Sedikit kurang karena grafik ditampilan awal tidak bisa di ubah ke candle chart, ayolah tambah sedikit lagi fiturnya opsi utk ubah grafik ditampilan awal tanpa harus masuk ke trading view full screen 😔",4,positive,3,0.4105,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",grafik ditampilan ubah candle chart ayolah fiturnya opsi ubah grafik ditampilan masuk trading view ful scren
"Fitur tambah rekening pencairannya tlg disederhanakan lgi dong min, saya sdh coba berkali-kali tp gagal mulu saat verifikasi wajah, saya ada keterbatasan di penglihatan jdi kesulitan membaca instruksi saat verifikasi wajah berlangsung. Selebihnya the best buat stockbit",5,positive,1,0.2651,"masuk, deposit, withdraw, withdrawal, uang, verifikasi, membantu_pemula, kerja, proses, penarikan",fitur rekening pencairanya tolong disederhanakan min coba berkalikali gagal mulu verifikasi wajah keterbatasan penglihatan kesulitan membaca instruksi verifikasi wajah selebihnya the_best stockbit
Daftar aja di persulit di suruh video call di suruh telepon truss milih jam berapa bisanya truss sudah di pilih jamnya selalu nggak jadi.. Ada yang sama pada saat pendaftaran nunggu verifikasi harus videocall atau di suruh telpon? Slowrespon banget lagi kalau di chat live support .. Mending ilangin tuhh chat live support nggak membantu sama sekali,1,negative,1,0.3557,"masuk, deposit, withdraw, withdrawal, uang, verifikasi, membantu_pemula, kerja, proses, penarikan",daftar_persulit suruh video_cal suruh telepon pilih jam bisanya pilih jamnya pendaftaran nunggu verifikasi videocal suruh telepon slowrespon banget chat_live suport mending ilangin tuh chat_live suport membantu
"tolong dong🙏🏻,,bisa nggaa kalo untuk pilihan bank atau metode pembayaran di tambah jangan cuma Jago sama BRI ajaa dan kalo bisa di tambah biar bisa pake E-walet kaya dana sama gopay,,biar enak aja,,itu aja dari saya,,mohon di tambah ya min🙏🏻",3,neutral,5,0.2702,"terbaik, enak, newbie, terima_kasih, jos, download, membantu_investor, memuaskan, mending, jual_beli",tolong dongbisa nga pilihan_bank metode pembayaran jago bri biar pakai ewalet kaya dana gopaybiar enak ajaitu sayamohon min
"Saya sangat ingin berinvestasi lewat aplikasi ini Tapi setelah saya mendaftar, sudah sangat lama sampai sekarang belum aja berhasil. Katanya harus menunggu satu hari kerja tapi ternyata sampai sekarang belum ada diselesaikan oleh pihak sekuritas. Saya disuruh verifikasi melalui panggilan video call Google meeting, Tetapi setelah saya hadir di dalam rapat ternyata tidak ada yang hadir dari pihak stockbit yang ingin memverifikasi saya. Tetapi yang anehnya setelah saya hadir muncul notifikasi bahwa",1,negative,1,0.3395,"masuk, deposit, withdraw, withdrawal, uang, verifikasi, membantu_pemula, kerja, proses, penarikan",berinvestasi aplikasi mendaftar berhasil menunggu_kerja diselesaikan sekuritas disuruh verifikasi panggilan video_cal gogle meting hadir rapat hadir stockbit memverifikasi anehnya hadir muncul notifikasi
"Aplikasinya bagus, cocok utk pemula, tampilannya mudah utk belajar menganalisa teknikal dan fundamental suatu saham, dan juga lincah dioperasikan.",5,positive,0,0.4364,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",aplikasinya bagus cocok_pemula tampilanya mudah belajar menganalisa teknikal_fundamental saham lincah dioperasikan
"Baru pertama coba daftar,dan belum mau deposit jika rekening wd belum diubah,saran aja sebaiknya rekening wd pilihan pengguna dimasukkan formulir saat pendaftaran,bukan otomatis langsung terdaftar dibank jago selain rekening rdn.",4,positive,1,0.2971,"masuk, deposit, withdraw, withdrawal, uang, verifikasi, membantu_pemula, kerja, proses, penarikan",coba daftardan deposit rekening withdrawal diubahsaran rekening withdrawal pilihan pengguna dimasukan formulir pendaftaranbukan otomatis langsung terdaftar dibank jago rekening_rdn
"Alhamdulillah sekarang ada akun saham syariah. Saran: menu deposit, penarikan, dan riwayat sebaiknya langsung tampilkan saja di layar menu ""portofolio"" agar lebih praktis tampilan antarmukanya. Tolong di menu portofolio setiap saham yang dimiliki dimunculkan logo perusahaan dan namanya.",5,positive,3,0.4049,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",alhamdulillah akun saham syariah saran menu deposit penarikan riwayat langsung tampilkan layar menu_portofolio praktis tampilan antarmukanya tolong menu_portofolio saham dimiliki dimunculkan logo perusahan namanya
"Secara Keseluruhan Bagus, ini Sekuritas Andalan saya. Tambah dong Fitur ON/ OFF untuk traksaksi sahamnya jadi lebih mudah untuk dikontrol sesuai keinginan member, karena fitur ini udah ada di beberapa Sekuritas lain. Thanks",5,positive,0,0.4998,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",bagus sekuritas andalan fitur traksaksi sahamnya mudah dikontrol sesuai member fitur sekuritas terimakasih
"Untuk sekarang, aplikasi & fitur2nya udah bagus...hanya saja tambahkan fitur transaksi saham2 dari luar negeri & transaksi bitcoin...semacam superapps investasi...",4,positive,0,0.2901,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",aplikasi fitur bagushanya tambahkan_fitur transaksi saham_negeri transaksi bitcoinsemacam superaps investasi
"Belakang ini. Begitu market buka suka bug/loading, sumpah bikin risih, mau aksi jual dan buy selalu ketinggalan, keburu naik/turun.",4,positive,3,0.4029,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",market_buka suka bugloading sumpah bikin risih aksi jual buy ketinggalan keburu naikturun
"Chat supportnya sangat slow response dan tidak dapat memberikan jawaban yang jelas. Kasih jawaban aja gak jelas, apalagi uang pengguna. Mending cari sekuritas lain yang lebih jelas dan cepat tanggap dalam melayani konsumen.",1,negative,0,0.3881,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",chat_suportnya santai response kasih uang pengguna mending_cari sekuritas cepat_tangap melayani konsumen
"Terimakasih akun dah bisa dipakai kembali, mohon kedepannya ditambahkan wa fast respon untuk chat kendala, selain chat support yg ada di apk. Terimakasih",5,positive,0,0.3045,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",terimakasih akun dipakai mohon kedepanya whatsapp fast_respon chat kendala chat_suport aplikasi terimakasih
"Sudah coba beberapa apk sekuritas , menurut saya Stockbit yang terbaik , ringan dan terpenting tidak ramai, carah menambahkan rekening untuk penarikan bagaimana ya ??? Saya butuh menambahkan minimal 3 rekening penarikan Dana, Terus tolong di bagian Fortofolio Order, di perbaiki lagi filtenya karena selalu kembali ke default meski sudah kami setting",5,positive,1,0.3316,"masuk, deposit, withdraw, withdrawal, uang, verifikasi, membantu_pemula, kerja, proses, penarikan",coba aplikasi sekuritas stockbit terbaik ringan terpenting ramai carah rekening penarikan butuh minimal rekening penarikan_dana tolong fortofolio order perbaiki filtenya default seting
"Kebanyakan maintenance-nya. Mungkin kedepannya bisa ditingkatin lagi ... (frekuensi maintenance-nya) hiyahiyahiya. Upgrade dong stockbit, sumpah ganggu banget maintenance-nya",2,negative,3,0.415,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",kebanyakan maintenancenya kedepanya ditingkatin frekuensi maintenancenya hiyahiyahiya upgrade stockbit sumpah gangu banget maintenancenya
"Apk lengkap dengan fitur² yang terbaru, sehingga memudahkan retail untuk mengecek saham² yang lagi di akumulasi asing. sangat membantu banget buat saya. good luck @Stockbit",5,positive,0,0.3417,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",aplikasi lengkap fitur terbaru sehinga memudahkan retail mengecek saham akumulasi asing membantu banget bagus_luck
"Mudah di pahami bagi pemula dan jelas cek ke untunganya, tingkatkan lagi kecepatan tuk jual dan belinya agar tdk kalah saing dengan yg lain.",5,positive,0,0.2972,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",mudah_pahami pemula cek untunganya tingkatkan_kecepatan tuk jual belinya kalah_saing
"Sangat suka stockbit dibanding app saham lain, mohon trus diupdate... utk tab mohon kalau bisa dibuat sperti versi desktop.",5,positive,0,0.2585,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",suka stockbit dibanding saham mohon diupdate tab mohon sperti versi desktop
"Jangan pernah pakai aplikasi ini, saya sebagai pengguna sangatttt kecewa!!!! Aplikasi sering ngelag dan eror ga jelas!!!!",1,negative,0,0.3486,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",pakai aplikasi pengguna kecewa aplikasi ngelag eror
"sangat mudah di gunakan, fleksibel dan transparansi, banyak informasi yang menarik tentang saham, up to date informasinya, makasih bisa dapat belajar mandiri",5,positive,0,0.2595,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",mudah fleksibel transparansi informasi menarik saham tanggal informasinya terimakasih belajar mandiri
"Saya sdh instal lalu ketika ngisi data diminta nomor telepon kantor, gmana ini kebetulan kantor tempat kerja ngak ada, karna kantornya sekolah dipelosok yg ngak ada nomor telponnya. Jadi gagal daftarnya.",2,negative,8,0.299,"ganguan, lemot, bintang, top, cocok_pemula, lancar, tidak bisa, cari, ngelag, pelayanan",instal mengisi data nomor_telepon kantor gmana kantor kerja kantornya sekolah dipelosok nomor telponya gagal daftarnya
"Aplikasi nya bagus, fitur lengkap, tampilannya juga keren, mudah dipahami & digunakan 👍. saya kasih bintang 4 dulu, kalau di stockbit bisa ada Saham AS, Crypto, & Emas baru saya kasih bintang 5. Kan enak kalau 1 aplikasi bisa banyak instrumen investasi & cukup satu rekening bank tidak perlu banyak aplikasi dan banyak rekening bank 🙂",4,positive,0,0.4163,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",aplikasi bagus fitur_lengkap tampilanya keren mudah_dipahami kasih_bintang stockbit saham crypto emas kasih_bintang enak aplikasi instrumen investasi rekening_bank aplikasi rekening_bank
"udah di ubah ke bahasa Indonesia, cuma ada beberapa kata yg tetap masih berbahasa Inggris, jadinya sekalian belajar bahasa Inggris deh",4,positive,8,0.3127,"ganguan, lemot, bintang, top, cocok_pemula, lancar, tidak bisa, cari, ngelag, pelayanan",ubah_bahasa indonesia berbahasa ingris belajar bahasa ingris deh
"admin oy min mi min btw bagus aplikasimu karna banyak komunitas aktif,ui yg simpel bagus lah pokoknya cuma seperti kebanyakan broker ada plus minusnya . btw oy min ada thr gak wkwkw nyenangkan hati pengguna ya kan gpp saham sampah dah atau kirim baju limit logo stockbit juga boleh wkwk becanda min. last sehat selalu semuanya min titip salam ya sama pemimpin beserta jajarannya",5,positive,3,0.2781,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",admin min min ngomong ngomong bagus aplikasimu komunitas aktifui simpel bagus pokoknya kebanyakan broker plus minusnya ngomong ngomong min thr wkwkw nyenangkan hati pengguna saham sampah kirim baju limit logo stockbit wkwk becanda min last sehat min titip salam pemimpin beserta jajaranya
"Pengalaman order nego ribet, udah beberapa kali revisi csnya tak kunjung reply email hampir 3 minggu, alhasil habis waktu buat revisi tgl doang, gd solusi dikasi saran estimasi ato apa kek..",1,negative,3,0.5052,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",pengalaman order nego ribet kali revisi csnya kunjung reply email minggu alhasil habis revisi tanggal tidak ada solusi dikasih saran estimasi ato
bagus... cuma di stock bit tidak ada fitur untuk eksekusi cepat saat buy skaligus setting take profit dan stop loss..,5,positive,0,0.2932,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",bagus persediaan_bit fitur eksekusi cepat buy seting take_profit stop_los
"Hati hati buat yang ingin pakai Stockbit. Akun saudara saya tiba tiba tidak bisa login dan tertulis akun terkunci, harap hubungi CS. Setelah CS dihubungi dia menyarankan pakai fitur lupa password, namun setelah digunakan lupa password email verifikasi tetap tidak masuk ke email saudara saya. Setiap berganti CS selalu pakai jawaban template untuk menggunakan fitur lupa password, padahal sudah dijelaskan email verifikasi tidak masuk ke email utama/email spam/email promotion.",1,negative,1,0.2713,"masuk, deposit, withdraw, withdrawal, uang, verifikasi, membantu_pemula, kerja, proses, penarikan",hati_hati pakai stockbit akun saudara login tertulis akun terkunci harap hubungi_customer service customer service dihubungi menyarankan pakai fitur lupa_pasword lupa_pasword email verifikasi masuk email saudara berganti customer service pakai template fitur lupa_pasword email verifikasi masuk email utamaemail spamemail promotion
"Buruk sekali pemeliharaan aplikasi SB, selalu crash pada saat jam bursa dimulai, apakah tidak ada maintenance rutin dari pihak IT SB?",5,positive,3,0.2523,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",buruk pemeliharan aplikasi stockbit crash jam_bursa maintenance rutin stockbit
"Customer service slow respon,giliran posisi sell match-nya lama dan lambat,giliran posisi buy cepatnya itu sistem langsung match,macam pepek pekerja it kalian...",1,negative,3,0.2795,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",customer_servis santai respongiliran posisi sel matchnya lambatgiliran posisi buy cepatnya sistem langsung matchmacam pepek pekerja
"UI sangat ramah buat pemula,gampang dipelajari dan menariknya ada fitur virtual akunnya",5,positive,4,0.3553,"user_friendly, easy, easy_use, mantul, bursa, the, maintenance, handphone, memakai, screning",user interface ramah pemulagampang dipelajari menariknya fitur virtual akunya
Banyak spam sales forex dan bot Michael yeoh palsu. Saya capek blokirnya. Tolong segera dibasmi. Ntar tak update bintangnya. Klo sudah beres,1,negative,1,0.2637,"masuk, deposit, withdraw, withdrawal, uang, verifikasi, membantu_pemula, kerja, proses, penarikan",spam sales forex bot michael yeoh palsu capek blokirnya tolong dibasmi update bintang nya beres
"Terima kasih Stockbit atas atensinya, kalian is the best...👍 sy berharap Apk nya ke dpn lebih ringan, stabil dan ramah buat semua jenis device..🙏",4,positive,3,0.2429,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",terima_kasih_stockbit atensinya the_best berharap aplikasi ringan stabil ramah jenis device
"Stockbit sudah makin oke, tingkatkan lagi aplikasinya agar lebih ringan penggunaannya. saran: dibuatkan pasar nego bisa pasang buy sell agar lebih mudah dan praktis seperti YP CP untuk pengguna thks.",4,positive,0,0.2683,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",stockbit oke tingkatkan aplikasinya_ringan pengunanya saran dibuatkan pasar_nego pasang buy_sel mudah praktis pengguna thks
"Fitur nya super kumplit, friendly user bahkan untuk pemula seperti saya. Fee rendah pas dengan trader dengan equity pas pasan seperti saya...",5,positive,0,0.4814,"bagus, aplikasi, mantap, mudah, pemula, saham, stockbit, belajar, membantu, oke",fitur super komplit friendly user pemula rendah pas trader equity pas pasan
"Sekarang loadingnya lama, ga kaya dulu yg sekali buka langsung muncul halamannya. Tolong di perbaiki.",4,positive,3,0.4056,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",loadingnya kaya buka langsung muncul halamanya tolong_perbaiki
"Tolong dong untuk proses penarikannya jangan sampai 1 hari atau bahkan lebih, kalau lagi santai sih gak apa-apa tapi kalau uangnya mau dipindah ke aset lain kan jadi menghambat dan bikin kehilangan momentum👎🏻",1,negative,3,0.2992,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",tolong proses penarikanya santai sih apapa uangnya dipindah aset menghambat bikin kehilangan_momentum
Aplikasi setiap habis update bukannya makin bagus. Malah makin LEMOOOOOOTTTT. Menu portfolio coba ada nama emiten bukan cuma kode saham contohnya GOTO (PT GoTo Gojek Tokopedia Tbk),2,negative,4,0.3694,"user_friendly, easy, easy_use, mantul, bursa, the, maintenance, handphone, memakai, screning",aplikasi habis_update bukanya bagus lemot menu portfolio coba nama emiten kode saham contohnya goto perusahaan goto gojek tokopedia tbk
buat pemula ok bgtt..ada fitur stream nya jadi seru.. bisa tau informasi terkini tentang emiten yg rame .. sayang nya awal jam bursa lemot...,5,positive,7,0.266,"informasi, very, berguna, semoga_sukses, pengalaman, mudah_mengerti, tingkatkan, maju, indonesia, terpercaya",pemula oke bgtada fitur_stream seru tau informasi terkini emiten ramai sayang jam_bursa lemot
"Tolong dong min, kok akun saya tiba tiba diblokir sepihak oleh pihak stockbit, makin gak jelas nih stockbit, jangan mempermainkan kayak gitu dong boss, kalo gini trus semakin jelek ratingmu nanti. Tolong dibuka dong akun saya, sudah dichat live support tapi gak guna dan gak ada hasil",1,negative,3,0.4123,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",tolong min akun diblokir stockbit nih stockbit mempermainkan bos jelek ratingmu tolong dibuka akun dichat live_suport hasil
Ini gimana kenapa total equity kenapa bisa - terus? Padahal kemarin minus cuman under 1k ini malah minus 15k? Nanti 100k kalo kaya gini mending pindah ajah dari pada disini,1,negative,3,0.212,"eror, maintenance, jam, jam_bursa, parah, login, hilang, pagi, pas, jual",total equity kemarin minus under minus kaya mending_pindah
"bagus lebih mudah dimengerti, cepat daftarnya g ribet, versi krypto nya apa ya, info dong",5,positive,5,0.3487,"terbaik, enak, newbie, terima_kasih, jos, download, membantu_investor, memuaskan, mending, jual_beli",bagus_mudah_dimengerti cepat daftarnya_ribet versi krypto informasi
Watchlist sering naik sendiri saat di scroll ke bawah. udah di update kenapa masih sama masalah nya?,2,negative,2,0.253,"lumayan, investasi_saham, the_best, pokoknya, gampang, eror_mulu, tolong, tambahin, bibit, order",watchlist scrol update
"2 MINGGU REGISTRASI, SELFI BERKALI-KALI WAJAH GAGAL TERDETEKSI. VIDEO CALL SAMA CS, SI CS LANGSUNG BILANG DATA DIRI TIDAK SESUAI, WATDEHEEEEEEEL. APAAN COBA. DISURUH SELFI TAPI GK ADA TOMBOL SELFI, ADANYA SELFI OTOMATIS DAN TIDAK TERDETEKSI",1,negative,1,0.6114,"masuk, deposit, withdraw, withdrawal, uang, verifikasi, membantu_pemula, kerja, proses, penarikan",minggu registrasi selfi berkalikali wajah gagal terdeteksi video_cal customer service sih customer service langsung bilang data sesuai watdehel apan coba disuruh selfi tombol selfi selfi otomatis terdeteksi
Masih yang terbaik stokbit. Mudah di mengerti semakin lengkap informasi.,5,positive,7,0.37,"informasi, very, berguna, semoga_sukses, pengalaman, mudah_mengerti, tingkatkan, maju, indonesia, terpercaya",terbaik stokbit mudah_mengerti lengkap informasi
Fitur split order ada lah masa membatalkan order satu per satu min? Kasih fitur cabut order langsung dong 2 klik boleh tuh,5,positive,2,0.2493,"lumayan, investasi_saham, the_best, pokoknya, gampang, eror_mulu, tolong, tambahin, bibit, order",fitur split order membatalkan order min kasih fitur cabut order langsung klik tuh
"sudah mencoba banyak sekuritas, sejauh ini stockbit semakin baik dari hari kehari, cuman server aja yg kadang suka down, terus berkembang stockbit supaya jd apps sekuritas no 1 diindo",4,positive,6,0.2735,"ribet, nice, bermanfat, maintenance_jam_bursa, akun, bca, pakai, daftar, menarik, bank",mencoba sekuritas stockbit kehari server kadang suka down berkembang stockbit aps sekuritas nomor dindo
"Gakbisa WD karna lupa password bank jago, dibank jago juga ribet mau login gak bisa pake akun google ,lagian rdn pilihannya ada 2 yg ku pake rekening MANDIRI!!!!!!",1,negative,6,0.4637,"ribet, nice, bermanfat, maintenance_jam_bursa, akun, bca, pakai, daftar, menarik, bank",tidak bisa withdrawal lupa_pasword bank_jago dibank jago ribet login pakai akun gogle rdn pilihanya pakai rekening mandiri
register nya di persulit saya mahasiswa kok susah buat register padahal dah ada KTP gimana si minus banget,1,negative,6,0.5218,"ribet, nice, bermanfat, maintenance_jam_bursa, akun, bca, pakai, daftar, menarik, bank",register persulit mahasiswa susah register ktp sih minus banget
"Aplikasi busuk,, sulit login cs ditanya cuma suruh screenshot sama ganti pasword mulu,, pdhal udah berkali-kali di ganti",1,negative,1,0.4486,"masuk, deposit, withdraw, withdrawal, uang, verifikasi, membantu_pemula, kerja, proses, penarikan",aplikasi busuk sulit login customer service suruh screnshot ganti_pasword mulu berkalikali ganti
