content,score,casefold,remove noise,slang,stopwords,stopwords2,stem,sentiment,topic
Bagus. Aplikasi simpel juga mudah di mengerti. Rekomendasi saham juga bagus buat pemula dan modal minim,5,bagus. aplikasi simpel juga mudah di mengerti. rekomendasi saham juga bagus buat pemula dan modal minim,bagus aplikasi simpel juga mudah di mengerti rekomendasi saham juga bagus buat pemula dan modal minim,bagus aplikasi simpel juga mudah di mengerti rekomendasi saham juga bagus buat pemula dan modal minim,bagus aplikasi simpel mudah mengerti rekomendasi saham bagus pemula modal minim,bagus aplikasi simpel mudah mengerti rekomendasi saham bagus pemula modal minim,bagus aplikasi simpel mudah erti rekomendasi saham bagus mula modal minim,pos,3
Pelayanan support chatnya sangat memuaskan,5,pelayanan support chatnya sangat memuaskan,pelayanan support chatnya sangat memuaskan,pelayanan support chatnya sangat memuaskan,pelayanan support chatnya memuaskan,pelayanan support chatnya memuaskan,layan support chatnya muas,pos,0
"Sangat memuaskan memakai broker stockbit, tidak ada kendala apapun selama bertransaksi jual/beli, biaya fee murmer, dan fitur screener memudahkan untuk mencari saham yg bagus dan sesuai keinginan, terima kasih stockbit",5,"sangat memuaskan memakai broker stockbit, tidak ada kendala apapun selama bertransaksi jual/beli, biaya fee murmer, dan fitur screener memudahkan untuk mencari saham yg bagus dan sesuai keinginan, terima kasih stockbit",sangat memuaskan memakai broker stockbit tidak ada kendala apapun selama bertransaksi jual beli biaya fee murmer dan fitur screener memudahkan untuk mencari saham yg bagus dan sesuai keinginan terima kasih stockbit,sangat memuaskan memakai broker stockbit tidak ada kendala apapun selama bertransaksi jual beli biaya fee murah meriah dan fitur screener memudahkan untuk mencari saham yang bagus dan sesuai keinginan terima kasih stockbit,memuaskan memakai broker stockbit tidak kendala apapun bertransaksi jual beli biaya fee murah meriah fitur screener memudahkan mencari saham bagus sesuai terima kasih stockbit,memuaskan memakai broker stockbit kendala apapun bertransaksi jual beli biaya fee murah meriah fitur screener memudahkan mencari saham bagus sesuai terima kasih stockbit,muas pakai broker stockbit tidak kendala apa transaksi jual beli biaya fee murah riah fitur screener mudah cari saham bagus sesuai terima kasih stockbit,pos,2
Jangan suka eror ya,5,jangan suka eror ya,jangan suka eror ya,jangan suka eror iya,jangan suka eror iya,suka eror iya,jangan suka eror iya,pos,1
"Sudah banyak fitur2 menarik seperti daytrading dll,terus sekarang buy/sell sudah merasa lebih cepat,cuman masih sedikit yang kurang jg terutama fitur trailing stop yang sangat berguna tapi tidak ada, pdhal fitur itu lbih berguna dari yg lain mohon untuk segera ditambahkan",5,"sudah banyak fitur2 menarik seperti daytrading dll,terus sekarang buy/sell sudah merasa lebih cepat,cuman masih sedikit yang kurang jg terutama fitur trailing stop yang sangat berguna tapi tidak ada, pdhal fitur itu lbih berguna dari yg lain mohon untuk segera ditambahkan",sudah banyak fitur menarik seperti daytrading dll terus sekarang buy sell sudah merasa lebih cepat cuman masih sedikit yang kurang jg terutama fitur trailing stop yang sangat berguna tapi tidak ada pdhal fitur itu lbih berguna dari yg lain mohon untuk segera ditambahkan,sudah banyak fitur menarik seperti daytrading dan lain lain terus sekarang buy sell sudah merasa lebih cepat cuma masih sedikit yang kurang juga terutama fitur trailing stop yang sangat berguna tapi tidak ada padahal fitur itu lebih berguna dari yang lain mohon untuk segera ditambahkan,fitur menarik daytrading buy sell cepat fitur trailing stop berguna tidak fitur berguna mohon,fitur menarik daytrading buy sell cepat fitur trailing stop berguna fitur berguna mohon,fitur tarik daytrading buy sell cepat fitur trailing stop guna tidak fitur guna mohon,pos,4
"Aplikasi gagal,,Pas jam buka bursa pasti loading,,, banyak rugi jadi mamber nya,,, kebanyakan loading,,, saat harga naik mau jual loading,, saat harga turun lancar,,, uang deposan lama mengendap,, buruk pokoknya,,, klo ada aplikasi yg lbh baik,, komen aja ya gan, biar saya coba, ,,",4,"aplikasi gagal,,pas jam buka bursa pasti loading,,, banyak rugi jadi mamber nya,,, kebanyakan loading,,, saat harga naik mau jual loading,, saat harga turun lancar,,, uang deposan lama mengendap,, buruk pokoknya,,, klo ada aplikasi yg lbh baik,, komen aja ya gan, biar saya coba, ,,",aplikasi gagal pas jam buka bursa pasti loading banyak rugi jadi mamber nya kebanyakan loading saat harga naik mau jual loading saat harga turun lancar uang deposan lama mengendap buruk pokoknya klo ada aplikasi yg lbh baik komen aja ya gan biar saya coba,aplikasi gagal pas jam buka bursa pasti loading banyak rugi jadi mamber nya kebanyakan loading saat harga naik mau jual loading saat harga turun lancar uang deposan lama mengendap buruk pokoknya kalau ada aplikasi yang lebih baik komen saja iya juragan biar saya coba,aplikasi gagal pas jam buka bursa loading rugi mamber kebanyakan loading harga jual loading harga turun lancar uang deposan mengendap buruk pokoknya aplikasi komen iya juragan biar coba,aplikasi gagal pas jam buka bursa loading rugi mamber kebanyakan loading harga jual loading harga turun lancar uang deposan mengendap buruk pokoknya aplikasi komen iya juragan biar coba,aplikasi gagal pas jam buka bursa loading rugi mamber banyak loading harga jual loading harga turun lancar uang deposan endap buruk pokok aplikasi komen iya juragan biar coba,pos,7
Saya baru download apakah apk ini dapat di percaya,4,saya baru download apakah apk ini dapat di percaya,saya baru download apakah apk ini dapat di percaya,saya baru unduh apakah apakah ini dapat di percaya,unduh percaya,unduh percaya,unduh percaya,pos,1
Terbaik. Pembayaran dividen sangat cepat,5,terbaik. pembayaran dividen sangat cepat,terbaik pembayaran dividen sangat cepat,terbaik pembayaran dividen sangat cepat,terbaik pembayaran dividen cepat,terbaik pembayaran dividen cepat,baik bayar dividen cepat,pos,6
"Aplikasi ternyata dalam bersaham. Tpi ribetnya kaya apaan tau kalo mau nambah rekening, susah bgt. Dan gbisa wd langsung.",4,"aplikasi ternyata dalam bersaham. tpi ribetnya kaya apaan tau kalo mau nambah rekening, susah bgt. dan gbisa wd langsung.",aplikasi ternyata dalam bersaham tpi ribetnya kaya apaan tau kalo mau nambah rekening susah bgt dan gbisa wd langsung,aplikasi ternyata dalam bersaham tetapi ribetnya kayak apa tahu kalau mau menambah rekening susah banget dan enggak bisa wd langsung,aplikasi bersaham ribetnya kayak menambah rekening susah banget wd langsung,aplikasi bersaham ribetnya kayak menambah rekening susah banget wd langsung,aplikasi saham ribetnya kayak tambah rekening susah banget wd langsung,pos,0
"Stockbit is the best,is ok.",5,"stockbit is the best,is ok.",stockbit is the best is ok,stockbit is the best is oke,stockbit is the best is oke,stockbit is the best is oke,stockbit is the best is oke,pos,2
Sekarang aplikasi stockbit makin bagus mantap dah keren abis,5,sekarang aplikasi stockbit makin bagus mantap dah keren abis,sekarang aplikasi stockbit makin bagus mantap dah keren abis,sekarang aplikasi stockbit makin bagus mantap sudah keren habis,aplikasi stockbit bagus mantap keren habis,aplikasi stockbit bagus mantap keren habis,aplikasi stockbit bagus mantap keren habis,pos,2
"maaf pemula,kenapa kok baru selesai daftar dan buka aplikasi sekitar 3mnt.udah muncul notif saya mendeteksi bahwa perakat anda di root padahal tidak di root setelah konsultasi cuma ngasih tahu kebijakan dan aturan tentang root perangkat apa ini bug lantas kenapa itu terjadi. ini miris sih pendatang baru pun waswas apa lagi tidak tahu apa apa!!!",4,"maaf pemula,kenapa kok baru selesai daftar dan buka aplikasi sekitar 3mnt.udah muncul notif saya mendeteksi bahwa perakat anda di root padahal tidak di root setelah konsultasi cuma ngasih tahu kebijakan dan aturan tentang root perangkat apa ini bug lantas kenapa itu terjadi. ini miris sih pendatang baru pun waswas apa lagi tidak tahu apa apa!!!",maaf pemula kenapa kok baru selesai daftar dan buka aplikasi sekitar mnt udah muncul notif saya mendeteksi bahwa perakat anda di root padahal tidak di root setelah konsultasi cuma ngasih tahu kebijakan dan aturan tentang root perangkat apa ini bug lantas kenapa itu terjadi ini miris sih pendatang baru pun waswas apa lagi tidak tahu apa apa,maaf pemula kenapa kok baru selesai daftar dan buka aplikasi sekitar minta sudah muncul notifikasi saya mendeteksi bahwa perakat anda di root padahal tidak di root setelah konsultasi cuma memberi tahu kebijakan dan aturan tentang root perangkat apa ini bug lantas kenapa itu terjadi ini miris sih pendatang baru pun waswas apa lagi tidak tahu apa apa,maaf pemula selesai daftar buka aplikasi muncul notifikasi mendeteksi perakat root tidak root konsultasi kebijakan aturan root perangkat bug lantas miris sih pendatang waswas tidak,maaf pemula selesai daftar buka aplikasi muncul notifikasi mendeteksi perakat root root konsultasi kebijakan aturan root perangkat bug lantas miris sih pendatang waswas,maaf mula selesai daftar buka aplikasi muncul notifikasi deteksi rakat root tidak root konsultasi bijak atur root perangkat bug lantas miris sih datang waswas tidak,pos,0
"Semoga data di screener lebih up-to-date, bs menampilkan nilai nominal saham, jenis papan, free float, bisa lebih lengkap dari fitur yang ada di RTI.",4,"semoga data di screener lebih up-to-date, bs menampilkan nilai nominal saham, jenis papan, free float, bisa lebih lengkap dari fitur yang ada di rti.",semoga data di screener lebih up to date bs menampilkan nilai nominal saham jenis papan free float bisa lebih lengkap dari fitur yang ada di rti,semoga data di screener lebih up to date bisa menampilkan nilai nominal saham jenis papan free float bisa lebih lengkap dari fitur yang ada di rti,semoga data screener up to date menampilkan nilai nominal saham jenis papan free float lengkap fitur rti,semoga data screener up to date menampilkan nilai nominal saham jenis papan free float lengkap fitur rti,moga data screener up to date tampil nilai nominal saham jenis papan free float lengkap fitur rti,pos,3
Mencoba mencari pasif income,5,mencoba mencari pasif income,mencoba mencari pasif income,mencoba mencari pasif income,mencoba mencari pasif income,mencoba mencari pasif income,coba cari pasif income,pos,1
bagus..pemula seperti gw sangat terbantu sama aplikasi ini...,5,bagus..pemula seperti gw sangat terbantu sama aplikasi ini...,bagus pemula seperti gw sangat terbantu sama aplikasi ini,bagus pemula seperti gue sangat terbantu sama aplikasi ini,bagus pemula gue terbantu aplikasi,bagus pemula gue terbantu aplikasi,bagus mula gue bantu aplikasi,pos,0
mudah dan lengkap figurnya,5,mudah dan lengkap figurnya,mudah dan lengkap figurnya,mudah dan lengkap figurnya,mudah lengkap figurnya,mudah lengkap figurnya,mudah lengkap figur,pos,1
Stockbit sangat bagus terimakasih banyak semoga lancar,5,stockbit sangat bagus terimakasih banyak semoga lancar,stockbit sangat bagus terimakasih banyak semoga lancar,stockbit sangat bagus terima kasih banyak semoga lancar,stockbit bagus terima kasih semoga lancar,stockbit bagus terima kasih semoga lancar,stockbit bagus terima kasih moga lancar,pos,2
Akhirnya RDNnya jadi juga...,5,akhirnya rdnnya jadi juga...,akhirnya rdnnya jadi juga,akhirnya rdnnya jadi juga,rdnnya,rdnnya,rdnnya,pos,5
"UInya bagus user friendly, cuma saran kalau bisa semuanya online untuk pendaftaran akun sekuritas, tidak harus print dan kirim dokumen yang jumlahnya tidak sedikit halamannya",4,"uinya bagus user friendly, cuma saran kalau bisa semuanya online untuk pendaftaran akun sekuritas, tidak harus print dan kirim dokumen yang jumlahnya tidak sedikit halamannya",uinya bagus user friendly cuma saran kalau bisa semuanya online untuk pendaftaran akun sekuritas tidak harus print dan kirim dokumen yang jumlahnya tidak sedikit halamannya,uinya bagus pengguna friendly cuma saran kalau bisa semuanya online untuk pendaftaran akun sekuritas tidak harus print dan kirim dokumen yang jumlahnya tidak sedikit halamannya,uinya bagus pengguna friendly saran online pendaftaran akun sekuritas tidak print kirim dokumen tidak halamannya,uinya bagus pengguna friendly saran online pendaftaran akun sekuritas print kirim dokumen halamannya,uinya bagus guna friendly saran online daftar akun sekuritas tidak print kirim dokumen tidak halaman,pos,0
"Apk sangat mwmbantu,, screening saham",5,"apk sangat mwmbantu,, screening saham",apk sangat mwmbantu screening saham,apakah sangat mwmbantu screening saham,mwmbantu screening saham,mwmbantu screening saham,mwmbantu screening saham,pos,3
"Untuk jual beli saha udah bagus bisa d kontrol beberapa di layar depan, terus kapan crypto mau rilis bung?",5,"untuk jual beli saha udah bagus bisa d kontrol beberapa di layar depan, terus kapan crypto mau rilis bung?",untuk jual beli saha udah bagus bisa d kontrol beberapa di layar depan terus kapan crypto mau rilis bung,untuk jual beli siapa sudah bagus bisa di kontrol beberapa di layar depan terus kapan crypto mau rilis bung,jual beli bagus kontrol layar crypto rilis,jual beli bagus kontrol layar crypto rilis,jual beli bagus kontrol layar crypto rilis,pos,4
"Baru mulai, latihan virtual duluan",4,"baru mulai, latihan virtual duluan",baru mulai latihan virtual duluan,baru mulai latihan virtual lebih dahulu,latihan virtual,latihan virtual,latih virtual,pos,0
mudah dan live. sangat mendukung pemula dalam dalam memulai investasi.,5,mudah dan live. sangat mendukung pemula dalam dalam memulai investasi.,mudah dan live sangat mendukung pemula dalam dalam memulai investasi,mudah dan live sangat mendukung pemula dalam dalam memulai investasi,mudah live mendukung pemula investasi,mudah live mendukung pemula investasi,mudah live dukung mula investasi,pos,3
